Order_ID,Product,Category,Region,Sales,Quantity,Discount,Profit,Order_Date
1001,Laptop Pro,Technology,East,1200.00,2,0.1,300.00,2024-01-05
1002,Office Chair,Furniture,West,450.00,1,0.0,90.00,2024-01-08
1003,Wireless Mouse,Technology,South,35.00,5,0.05,12.00,2024-01-10
1004,Notebook Set,Office Supplies,East,20.00,10,0.0,8.00,2024-01-12
1005,Standing Desk,Furniture,North,850.00,1,0.15,170.00,2024-01-15
1006,USB Hub,Technology,West,45.00,3,0.0,15.00,2024-01-18
1007,Printer,Technology,South,320.00,1,0.1,64.00,2024-01-20
1008,Bookshelf,Furniture,East,200.00,2,0.0,50.00,2024-01-22
1009,Pen Pack,Office Supplies,North,15.00,20,0.0,6.00,2024-01-25
1010,Monitor,Technology,West,400.00,2,0.05,100.00,2024-01-28
1011,Keyboard,Technology,East,80.00,4,0.0,24.00,2024-02-02
1012,Desk Lamp,Office Supplies,South,30.00,6,0.0,9.00,2024-02-05
1013,Webcam,Technology,North,120.00,2,0.0,36.00,2024-02-08
1014,Filing Cabinet,Furniture,East,300.00,1,0.1,60.00,2024-02-10
1015,Headphones,Technology,West,150.00,3,0.05,45.00,2024-02-14
1016,Stapler,Office Supplies,South,18.00,8,0.0,5.40,2024-02-16
1017,Gaming Chair,Furniture,North,700.00,1,0.0,140.00,2024-02-18
1018,Tablet,Technology,East,500.00,2,0.1,100.00,2024-02-20
1019,Whiteboard,Office Supplies,West,90.00,2,0.0,27.00,2024-02-23
1020,Laptop Stand,Technology,South,60.00,5,0.0,18.00,2024-02-26
1021,Sofa,Furniture,North,1100.00,1,0.05,220.00,2024-03-01
1022,SSD Drive,Technology,East,130.00,4,0.0,39.00,2024-03-04
1023,Scissors Set,Office Supplies,West,12.00,15,0.0,4.20,2024-03-07
1024,Projector,Technology,South,750.00,1,0.1,150.00,2024-03-10
1025,Coffee Table,Furniture,North,400.00,1,0.0,80.00,2024-03-13
1026,Router,Technology,East,90.00,3,0.05,27.00,2024-03-15
1027,Notepad,Office Supplies,West,8.00,25,0.0,2.40,2024-03-18
1028,External HDD,Technology,South,100.00,3,0.0,30.00,2024-03-20
1029,Bookcase,Furniture,North,280.00,2,0.1,56.00,2024-03-23
1030,Smartwatch,Technology,East,250.00,2,0.05,62.50,2024-03-26
1031,Desk Organizer,Office Supplies,West,25.00,10,0.0,7.50,2024-04-01
1032,Smartphone,Technology,South,900.00,2,0.0,225.00,2024-04-04
1033,Lounge Chair,Furniture,North,600.00,1,0.1,120.00,2024-04-07
1034,Speaker,Technology,East,180.00,3,0.05,45.00,2024-04-10
1035,Binder Set,Office Supplies,West,22.00,12,0.0,6.60,2024-04-14
1036,Smart TV,Technology,South,1400.00,1,0.0,350.00,2024-04-17
1037,Wardrobe,Furniture,North,950.00,1,0.0,190.00,2024-04-20
1038,Power Bank,Technology,East,55.00,6,0.0,16.50,2024-04-23
1039,Tape Dispenser,Office Supplies,West,10.00,20,0.0,3.00,2024-04-26
1040,Drone,Technology,South,800.00,1,0.15,160.00,2024-04-29
